/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 20, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 64, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 10, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:74: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -0.6956972049607429, logmi: 0.0007197201251983642
 16%|█████████████▍                                                                      | 32/200 [04:33<23:45,  8.49s/it]
Episode 2, logq_z: -4.3537289166357365, logmi: 0.0008854031562805176
Episode 3, logq_z: -4.0685255318880085, logmi: 0.0002547025680541992
Episode 4, logq_z: -3.3815464586019517, logmi: 2.95102596282959e-05
Episode 5, logq_z: -3.3610299289226533, logmi: 4.374384880065918e-05
Episode 6, logq_z: -2.4786705017089843, logmi: 1.8668174743652343e-05
Episode 7, logq_z: -2.3574298560619353, logmi: 3.455281257629395e-05
Episode 8, logq_z: -2.1623972833156584, logmi: 1.1420249938964843e-05
Episode 9, logq_z: -2.4370355904102325, logmi: 3.089308738708496e-05
Episode 10, logq_z: -2.3548168361186983, logmi: 3.2836198806762694e-05
Episode 11, logq_z: -2.6162903904914856, logmi: 1.3816356658935548e-05
Episode 12, logq_z: -2.540907788276672, logmi: 1.1104345321655274e-05
Episode 13, logq_z: -2.5734566926956175, logmi: 5.674362182617188e-06
Episode 14, logq_z: -2.7268370389938354, logmi: 2.294182777404785e-05
Episode 15, logq_z: -2.1015968441963198, logmi: 9.775161743164062e-06
Episode 16, logq_z: -2.646585428714752, logmi: -4.3511390686035155e-07
Episode 17, logq_z: -3.1949407339096068, logmi: 7.829070091247559e-05
Episode 18, logq_z: -3.2420353293418884, logmi: -5.918741226196289e-06
Episode 19, logq_z: -3.1733104944229127, logmi: 2.6941299438476562e-05
Episode 20, logq_z: -2.665312337875366, logmi: 3.0934810638427734e-06
Episode 21, logq_z: -2.302227425575256, logmi: 3.663897514343262e-05
