/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 20, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 64, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 10, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:74: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -0.6956972049607429, logmi: 0.0007234930992126465
 16%|█████████████▍                                                                      | 32/200 [06:41<35:12, 12.57s/it]
Episode 2, logq_z: -4.332089896628167, logmi: 0.0008679091930389405
Episode 3, logq_z: -4.068707567080855, logmi: 0.0002680659294128418
Episode 4, logq_z: -3.373691459000111, logmi: 4.2879581451416014e-05
Episode 5, logq_z: -3.3735205233097076, logmi: 4.9221515655517575e-05
Episode 6, logq_z: -2.476349437236786, logmi: 2.63214111328125e-05
Episode 7, logq_z: -2.3369626820087435, logmi: 4.0984153747558595e-05
Episode 8, logq_z: -2.1548289120197297, logmi: 9.459257125854492e-06
Episode 9, logq_z: -2.444574213027954, logmi: 3.6650896072387694e-05
Episode 10, logq_z: -2.3517802476882936, logmi: 3.181099891662598e-05
Episode 11, logq_z: -2.6041770935058595, logmi: 4.810094833374024e-06
Episode 12, logq_z: -2.54499089717865, logmi: 1.8364191055297853e-05
Episode 13, logq_z: -2.593163788318634, logmi: 4.684925079345703e-06
Episode 14, logq_z: -2.722846841812134, logmi: 1.5795230865478516e-05
Episode 15, logq_z: -2.099757361412048, logmi: 7.176399230957032e-06
Episode 16, logq_z: -2.648400664329529, logmi: -1.7464160919189454e-06
Episode 17, logq_z: -3.183469533920288, logmi: 1.6689300537109375e-06
Episode 18, logq_z: -3.229558193683624, logmi: 3.120899200439453e-05
Episode 19, logq_z: -3.1843053460121156, logmi: 2.4497509002685547e-05
Episode 20, logq_z: -2.674789273738861, logmi: 1.3953447341918945e-05
Episode 21, logq_z: -2.3057177901268004, logmi: 1.551508903503418e-05
Episode 22, logq_z: -2.4494168400764464, logmi: 3.910064697265625e-06
Episode 23, logq_z: -3.118035614490509, logmi: 1.996755599975586e-06
Episode 24, logq_z: -2.608349919319153, logmi: 2.753734588623047e-06
Episode 25, logq_z: -2.911132049560547, logmi: 7.855892181396485e-06
