Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
 16%|█████████████▍                                                                      | 32/200 [06:15<32:47, 11.71s/it]
Episode 2, logq_z: -1.9956098794937134, logmi: 0.004396619275212288
Episode 3, logq_z: -1.2178351879119873, logmi: 0.003710885299369693
Episode 4, logq_z: -1.6370843648910522, logmi: 0.0024696059990674257
Episode 5, logq_z: -2.496584892272949, logmi: 0.001635983120650053
Episode 6, logq_z: -2.871285915374756, logmi: 0.001279623480513692
Episode 7, logq_z: -2.526533603668213, logmi: 0.0011587925255298615
Episode 8, logq_z: -2.6901636123657227, logmi: 0.000967629486694932
Episode 9, logq_z: -2.1664819717407227, logmi: 0.0008344512898474932
Episode 10, logq_z: -1.8562273979187012, logmi: 0.0006914541590958834
Episode 11, logq_z: -1.946398377418518, logmi: 0.0005337891634553671
Episode 12, logq_z: -1.7452514171600342, logmi: 0.00047509465366601944
Episode 13, logq_z: -1.504557728767395, logmi: 0.000375168863683939
Episode 14, logq_z: -1.6538151502609253, logmi: 0.0003700209781527519
Episode 15, logq_z: -1.6893807649612427, logmi: 0.0003205940593034029
Episode 16, logq_z: -1.8402466773986816, logmi: 0.000245371600612998
Episode 17, logq_z: -1.8024253845214844, logmi: 0.0002593554090708494
Episode 18, logq_z: -1.6799863576889038, logmi: 0.0002455310896039009
Episode 19, logq_z: -1.5791219472885132, logmi: 0.00018055434338748455
Episode 20, logq_z: -1.5458292961120605, logmi: 0.00016246107406914234
Episode 21, logq_z: -1.5674023628234863, logmi: 0.00015751319006085396
Episode 22, logq_z: -1.6139837503433228, logmi: 0.00014028185978531837
Episode 23, logq_z: -1.6402994394302368, logmi: 0.00011097756214439869
Episode 24, logq_z: -1.66765558719635, logmi: 0.00010364409536123276
Episode 25, logq_z: -1.7763630151748657, logmi: 0.00010371371172368526
Episode 26, logq_z: -1.6227833032608032, logmi: 0.00011520949192345142
Episode 27, logq_z: -1.5936386585235596, logmi: 9.920238517224789e-05
Episode 28, logq_z: -1.5408790111541748, logmi: 0.00010086153633892536
Episode 29, logq_z: -1.4873182773590088, logmi: 6.167660467326641e-05
