Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                            | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
  2%|█▎                                                                               | 32/2000 [06:15<6:28:19, 11.84s/it]
Episode 2, logq_z: -1.9956098794937134, logmi: 0.004396619275212288
Episode 3, logq_z: -1.217836618423462, logmi: 0.003710866905748844
Episode 4, logq_z: -1.6371068954467773, logmi: 0.002469884930178523
Episode 5, logq_z: -2.497429847717285, logmi: 0.0016386487986892462
Episode 6, logq_z: -2.8735671043395996, logmi: 0.0012839525006711483
Episode 7, logq_z: -2.5280632972717285, logmi: 0.0011727989185601473
Episode 8, logq_z: -2.6926159858703613, logmi: 0.0009764812421053648
Episode 9, logq_z: -2.168266773223877, logmi: 0.0008409540168941021
Episode 10, logq_z: -1.8578921556472778, logmi: 0.0006969545502215624
Episode 11, logq_z: -1.9463019371032715, logmi: 0.0005378378555178642
Episode 12, logq_z: -1.7454640865325928, logmi: 0.0004782292526215315
Episode 13, logq_z: -1.5038604736328125, logmi: 0.0003776415251195431
Episode 14, logq_z: -1.6545201539993286, logmi: 0.0003733220510184765
Episode 15, logq_z: -1.690710186958313, logmi: 0.00031714350916445255
Episode 16, logq_z: -1.841958999633789, logmi: 0.00024536182172596455
Episode 17, logq_z: -1.8005235195159912, logmi: 0.00025701546110212803
Episode 18, logq_z: -1.6775851249694824, logmi: 0.00024206447415053844
Episode 19, logq_z: -1.5765548944473267, logmi: 0.00017825118266046047
Episode 20, logq_z: -1.5436073541641235, logmi: 0.00017701438628137112
Episode 21, logq_z: -1.565870761871338, logmi: 0.0001513971947133541
Episode 22, logq_z: -1.6115666627883911, logmi: 0.00017196615226566792
Episode 23, logq_z: -1.6381738185882568, logmi: 0.0001263055019080639
Episode 24, logq_z: -1.6664446592330933, logmi: 0.00011489004828035831
Episode 25, logq_z: -1.774680495262146, logmi: 9.607523679733276e-05
Episode 26, logq_z: -1.622664213180542, logmi: 0.00012857140973210335
Episode 27, logq_z: -1.5950100421905518, logmi: 0.00011400110088288784
Episode 28, logq_z: -1.5423945188522339, logmi: 8.990219794213772e-05
Episode 29, logq_z: -1.4894437789916992, logmi: 5.303742364048958e-05
Episode 30, logq_z: -1.5068963766098022, logmi: 4.7415029257535934e-05
Episode 31, logq_z: -1.495335340499878, logmi: 7.358146831393242e-05
Episode 32, logq_z: -1.4635167121887207, logmi: 5.5080512538552284e-05
Episode 33, logq_z: -1.5775940418243408, logmi: 6.866431795060635e-05
