/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                              | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.2492799758911133, logmi: 0.006526052951812744
  2%|▊                                                  | 32/2000 [06:09<6:16:22, 11.47s/it]
Episode 2, logq_z: -2.0194382667541504, logmi: 0.004538603127002716
Episode 3, logq_z: -1.22493314743042, logmi: 0.003631400177255273
Episode 4, logq_z: -1.645577073097229, logmi: 0.002385137602686882
Episode 5, logq_z: -2.437730312347412, logmi: 0.0015308994334191084
Episode 6, logq_z: -2.770103693008423, logmi: 0.0011233983095735312
Episode 7, logq_z: -2.4123148918151855, logmi: 0.0012991521507501602
Episode 8, logq_z: -2.6532909870147705, logmi: 0.0010500967036932707
Episode 9, logq_z: -2.132463216781616, logmi: 0.001020939787849784
Episode 10, logq_z: -1.8392349481582642, logmi: 0.0008598188869655132
Episode 11, logq_z: -1.9042218923568726, logmi: 0.0006470659282058477
Episode 12, logq_z: -1.7504618167877197, logmi: 0.0005897290538996458
Episode 13, logq_z: -1.497361660003662, logmi: 0.00044562271796166897
Episode 14, logq_z: -1.6571884155273438, logmi: 0.0003612702712416649
Episode 15, logq_z: -1.6546118259429932, logmi: 0.0003167223185300827
Episode 16, logq_z: -1.802210807800293, logmi: 0.00031027989462018013
Episode 17, logq_z: -1.6858248710632324, logmi: 0.00034906109794974327
Episode 18, logq_z: -1.5954233407974243, logmi: 0.00031452998518943787
Episode 19, logq_z: -1.5169615745544434, logmi: 0.0002498030662536621
