Demo data loaded with 94 length.
params: {'n_skills': 10, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                            | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -6.338167667388916, logmi: 0.001083865761756897
  2%|█▎                                                                               | 32/2000 [07:42<8:01:39, 14.68s/it]
Episode 2, logq_z: -5.605981826782227, logmi: 0.0011121490970253944
Episode 3, logq_z: -3.646023988723755, logmi: 0.0009411420905962586
Episode 4, logq_z: -2.4349589347839355, logmi: 0.0007200226536951959
Episode 5, logq_z: -2.492845058441162, logmi: 0.0005987253971397877
Episode 6, logq_z: -3.0628113746643066, logmi: 0.0005071726045571268
Episode 7, logq_z: -3.3803226947784424, logmi: 0.0004058953491039574
Episode 8, logq_z: -3.1742169857025146, logmi: 0.0003559912438504398
Episode 9, logq_z: -3.134554624557495, logmi: 0.00028225703863427043
Episode 10, logq_z: -2.777176856994629, logmi: 0.0003145578666590154
Episode 11, logq_z: -3.0130207538604736, logmi: 0.00027541606687009335
Episode 12, logq_z: -2.9657299518585205, logmi: 0.00038205867167562246
Episode 13, logq_z: -2.547541618347168, logmi: 0.0003301479737274349
Episode 14, logq_z: -2.574575901031494, logmi: 0.0002891810145229101
Episode 15, logq_z: -2.350125312805176, logmi: 0.0002867449074983597
Episode 16, logq_z: -2.70908260345459, logmi: 0.0002422475954517722
Episode 17, logq_z: -2.743781328201294, logmi: 0.0002026993315666914
Episode 18, logq_z: -3.294628620147705, logmi: 0.00017349165864288807
Episode 19, logq_z: -3.191692352294922, logmi: 0.00013143906835466623
Episode 20, logq_z: -2.8720598220825195, logmi: 0.00011935154907405376
