Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 100, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                                                            | 0/100 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 0.0043878257274627686
 32%|████████████████████████████████████▊                                                                              | 32/100 [06:14<13:37, 12.02s/it]
Episode 2, logq_z: -2.5262460708618164, logmi: 0.0035918515641242266
Episode 3, logq_z: -1.3891152143478394, logmi: 0.0026189687196165323
Episode 4, logq_z: -1.7894723415374756, logmi: 0.0018709456780925393
Episode 5, logq_z: -2.4633772373199463, logmi: 0.001252222922630608
Episode 6, logq_z: -2.7968268394470215, logmi: 0.0008552394574508071
Episode 7, logq_z: -2.395381212234497, logmi: 0.0005498330574482679
Episode 8, logq_z: -2.0056474208831787, logmi: 0.00034269574098289013
Episode 9, logq_z: -1.9317232370376587, logmi: 0.00022025778889656067
Episode 10, logq_z: -1.8770679235458374, logmi: 0.00016843690536916256
Episode 11, logq_z: -1.6340934038162231, logmi: 0.0001297744456678629
Episode 12, logq_z: -1.552769660949707, logmi: 0.00010840571485459805
Episode 13, logq_z: -1.4104479551315308, logmi: 0.00010061822831630707
Episode 14, logq_z: -1.7384060621261597, logmi: 9.516091085970402e-05
Episode 15, logq_z: -1.9082648754119873, logmi: 9.649223648011684e-05
Episode 16, logq_z: -2.019070625305176, logmi: 0.00012067239731550217
Episode 17, logq_z: -2.311577081680298, logmi: 0.0001282820012420416
Episode 18, logq_z: -2.6054558753967285, logmi: 0.00014880206435918808
Episode 19, logq_z: -2.4609386920928955, logmi: 0.0001542877871543169
Episode 20, logq_z: -2.1520535945892334, logmi: 0.00015082769095897675
Episode 21, logq_z: -2.011165142059326, logmi: 0.00015752832405269146
Episode 22, logq_z: -2.0834929943084717, logmi: 0.00016373442485928535
Episode 23, logq_z: -1.9292134046554565, logmi: 0.0001543150283396244
Episode 24, logq_z: -1.66656494140625, logmi: 0.00015159300528466702
Episode 25, logq_z: -1.5284370183944702, logmi: 0.0001416101586073637
Episode 26, logq_z: -1.5228198766708374, logmi: 0.00013755192048847675
Episode 27, logq_z: -1.5664317607879639, logmi: 0.00012685731053352356
Episode 28, logq_z: -1.6757855415344238, logmi: 0.00011691241525113583
Episode 29, logq_z: -1.758333444595337, logmi: 0.00011108536273241043
Episode 30, logq_z: -1.6424883604049683, logmi: 9.659444913268089e-05
Episode 31, logq_z: -1.6305723190307617, logmi: 8.913734927773476e-05
Episode 32, logq_z: -1.6317371129989624, logmi: 8.049700409173965e-05
Episode 33, logq_z: -1.6918082237243652, logmi: 7.587391883134842e-05
Episode 34, logq_z: -1.7036131620407104, logmi: 7.11765605956316e-05
Episode 35, logq_z: -1.697814702987671, logmi: 6.282818503677845e-05
Episode 36, logq_z: -1.5930225849151611, logmi: 5.845259875059128e-05
Episode 37, logq_z: -1.5441631078720093, logmi: 4.848092794418335e-05
Episode 38, logq_z: -1.4735074043273926, logmi: 5.0065573304891586e-05
Episode 39, logq_z: -1.5089714527130127, logmi: 4.196213558316231e-05
Episode 40, logq_z: -1.5017915964126587, logmi: 4.5540276914834976e-05
Episode 41, logq_z: -1.5590379238128662, logmi: 3.8192374631762505e-05
Episode 42, logq_z: -1.4913827180862427, logmi: 4.2141880840063095e-05
Episode 43, logq_z: -1.5225244760513306, logmi: 3.490806557238102e-05
Episode 44, logq_z: -1.5299960374832153, logmi: 3.103096969425678e-05
Episode 45, logq_z: -1.4447470903396606, logmi: 2.7123605832457542e-05
Episode 46, logq_z: -1.4679335355758667, logmi: 2.4572014808654785e-05
Episode 47, logq_z: -1.5300078392028809, logmi: 2.9689865186810493e-05
Episode 48, logq_z: -1.538636326789856, logmi: 1.7840182408690453e-05
Episode 49, logq_z: -1.4993265867233276, logmi: 2.4531036615371704e-05
Episode 50, logq_z: -1.4898483753204346, logmi: 2.065300941467285e-05
Episode 51, logq_z: -1.4809606075286865, logmi: 2.300064079463482e-05
Episode 52, logq_z: -1.4437168836593628, logmi: 2.8672395274043083e-05
Episode 53, logq_z: -1.4594933986663818, logmi: 1.865229569375515e-05
Episode 54, logq_z: -1.4685386419296265, logmi: 1.958315260708332e-05
Episode 55, logq_z: -1.4795479774475098, logmi: 2.1384097635746002e-05
Episode 56, logq_z: -1.4904427528381348, logmi: 1.717335544526577e-05
Episode 57, logq_z: -1.490175724029541, logmi: 1.8557067960500717e-05
Episode 58, logq_z: -1.4735252857208252, logmi: 1.4828750863671303e-05
Episode 59, logq_z: -1.5683330297470093, logmi: 1.6142381355166435e-05
Episode 60, logq_z: -1.6059465408325195, logmi: 1.477380283176899e-05
Episode 61, logq_z: -1.5266432762145996, logmi: 1.7368700355291367e-05
Episode 62, logq_z: -1.5534955263137817, logmi: 1.1886470019817352e-05
Episode 63, logq_z: -1.5388996601104736, logmi: 1.155002973973751e-05
Episode 64, logq_z: -1.5481786727905273, logmi: 9.543728083372116e-06
Episode 65, logq_z: -1.525609016418457, logmi: 1.3645272701978683e-05
Episode 66, logq_z: -1.5146552324295044, logmi: 2.4943146854639053e-05
Episode 67, logq_z: -1.5112295150756836, logmi: 1.430814154446125e-05
Episode 68, logq_z: -1.5330153703689575, logmi: 2.843281254172325e-05
Episode 69, logq_z: -1.5205464363098145, logmi: 2.2663036361336708e-05
Episode 70, logq_z: -1.5455083847045898, logmi: 3.377045504748821e-05
Episode 71, logq_z: -1.5248053073883057, logmi: 2.7896137908101082e-05
Episode 72, logq_z: -1.5200971364974976, logmi: 2.1034851670265198e-05
Episode 73, logq_z: -1.5642791986465454, logmi: 1.9015977159142494e-05
Episode 74, logq_z: -1.5198962688446045, logmi: 2.070399932563305e-05
Episode 75, logq_z: -1.4897162914276123, logmi: 3.029010258615017e-05
Episode 76, logq_z: -1.489098072052002, logmi: 1.5530269593000412e-05
Episode 77, logq_z: -1.5635597705841064, logmi: 1.508486457169056e-05
Episode 78, logq_z: -1.5457171201705933, logmi: 3.429129719734192e-05
Episode 79, logq_z: -1.5371150970458984, logmi: 2.703070640563965e-05
Episode 80, logq_z: -1.5453170537948608, logmi: 1.8916092813014984e-05
Episode 81, logq_z: -1.5694916248321533, logmi: 2.7016736567020416e-05
Episode 82, logq_z: -1.5029240846633911, logmi: 3.7981895729899406e-05
Episode 83, logq_z: -1.5335125923156738, logmi: 3.0964380130171776e-05
Episode 84, logq_z: -1.5012726783752441, logmi: 1.9651837646961212e-05
Episode 85, logq_z: -1.5043377876281738, logmi: 1.4756806194782257e-05
Episode 86, logq_z: -1.5316381454467773, logmi: 2.038152888417244e-05
Episode 87, logq_z: -1.5492148399353027, logmi: 3.0035153031349182e-05
Episode 88, logq_z: -1.5522066354751587, logmi: 2.0302599295973778e-05
Episode 89, logq_z: -1.5291874408721924, logmi: 2.2445106878876686e-05
Episode 90, logq_z: -1.5334759950637817, logmi: 1.299707219004631e-05
Episode 91, logq_z: -1.5161114931106567, logmi: 2.495921216905117e-05
Episode 92, logq_z: -1.5252187252044678, logmi: 2.2643478587269783e-05
Episode 93, logq_z: -1.526060700416565, logmi: 2.1172454580664635e-05
Episode 94, logq_z: -1.564358115196228, logmi: 2.0805280655622482e-05
Episode 95, logq_z: -1.538788914680481, logmi: 4.9069058150053024e-06
Episode 96, logq_z: -1.5077086687088013, logmi: 2.8295908123254776e-05
Episode 97, logq_z: -1.5379799604415894, logmi: 1.740013249218464e-05
Episode 98, logq_z: -1.5249468088150024, logmi: 1.4517689123749733e-05
Episode 99, logq_z: -1.5369670391082764, logmi: 2.0734500139951706e-05
Policy saved at ./checkpoints/joint_policy_100_2025-06-23-19-08-31.pt
Episode 100, logq_z: -1.7276132106781006, logmi: 7.867813110351562e-06
