Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 100, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/100 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2099742889404297e-05
 32%|████████████████████████████████████▊                                                                              | 32/100 [04:33<10:12,  9.01s/it]
Episode 2, logq_z: -2.5262460708618164, logmi: 8.17934051156044e-06
Episode 3, logq_z: -1.389115333557129, logmi: 6.719958037137985e-06
Episode 4, logq_z: -1.7951219081878662, logmi: 5.886191502213478e-06
Episode 5, logq_z: -2.469906806945801, logmi: -6.831251084804535e-06
Episode 6, logq_z: -2.797508478164673, logmi: -1.7463229596614838e-05
Episode 7, logq_z: -2.395081043243408, logmi: 2.057524397969246e-06
Episode 8, logq_z: -2.006932497024536, logmi: 1.8647406250238419e-06
Episode 9, logq_z: -1.9326200485229492, logmi: 1.934962347149849e-05
Episode 10, logq_z: -1.876349925994873, logmi: 1.7892103642225266e-05
Episode 11, logq_z: -1.6337847709655762, logmi: 2.629193477332592e-05
Episode 12, logq_z: -1.550689935684204, logmi: 2.536107785999775e-05
Episode 13, logq_z: -1.408369541168213, logmi: 4.687625914812088e-05
Episode 14, logq_z: -1.7384804487228394, logmi: 4.154304042458534e-05
Episode 15, logq_z: -1.913832187652588, logmi: 1.3545854017138481e-05
Episode 16, logq_z: -2.0238773822784424, logmi: 2.6312191039323807e-05
Episode 17, logq_z: -2.3127810955047607, logmi: 2.1809246391057968e-05
