Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2814998626708984e-05
 11%|████████████▎                                                                                                      | 32/300 [06:11<53:01, 11.87s/it]
Episode 2, logq_z: -2.5262460708618164, logmi: 8.669216185808182e-06
Episode 3, logq_z: -1.3891152143478394, logmi: 7.023569196462631e-06
Episode 4, logq_z: -1.7894725799560547, logmi: 6.9660600274801254e-06
Episode 5, logq_z: -2.4633772373199463, logmi: 5.863141268491745e-06
Episode 6, logq_z: -2.796827793121338, logmi: 4.150206223130226e-06
Episode 7, logq_z: -2.3953826427459717, logmi: 4.180241376161575e-06
Episode 8, logq_z: -2.005650043487549, logmi: 4.33274544775486e-06
Episode 9, logq_z: -1.9317402839660645, logmi: 4.3441541492938995e-06
Episode 10, logq_z: -1.8770806789398193, logmi: 5.21121546626091e-06
Episode 11, logq_z: -1.6340926885604858, logmi: 6.605405360460281e-06
Episode 12, logq_z: -1.5527629852294922, logmi: 5.813082680106163e-06
Episode 13, logq_z: -1.4104429483413696, logmi: 4.789093509316444e-06
Episode 14, logq_z: -1.7384123802185059, logmi: 3.4652184695005417e-06
Episode 15, logq_z: -1.9082767963409424, logmi: 2.8957147151231766e-06
Episode 16, logq_z: -2.0190796852111816, logmi: 2.5527551770210266e-06
Episode 17, logq_z: -2.311577320098877, logmi: 2.5962945073843002e-06
Episode 18, logq_z: -2.6054608821868896, logmi: 2.1334271878004074e-06
Episode 19, logq_z: -2.4609291553497314, logmi: 1.4575198292732239e-06
Episode 20, logq_z: -2.1520466804504395, logmi: -3.0384398996829987e-07
