Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.01, 0.01], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.513798713684082, logmi: 0.004027336835861206
 11%|████████████▎                                                                                                      | 32/300 [06:23<52:31, 11.76s/it]
Episode 2, logq_z: -2.5526204109191895, logmi: 0.0032920099329203367
Episode 3, logq_z: -1.4339944124221802, logmi: 0.002678354736417532
Episode 4, logq_z: -1.6930077075958252, logmi: 0.001955239102244377
Episode 5, logq_z: -2.2142062187194824, logmi: 0.0013245366280898452
Episode 6, logq_z: -2.5360190868377686, logmi: 0.0008889299351722002
Episode 7, logq_z: -2.1849939823150635, logmi: 0.0006207968108355999
Episode 8, logq_z: -1.7770811319351196, logmi: 0.0006718365475535393
Episode 9, logq_z: -1.8228100538253784, logmi: 0.0004909667186439037
Episode 10, logq_z: -1.7814218997955322, logmi: 0.0005114139057695866
Episode 11, logq_z: -1.5537306070327759, logmi: 0.0004451028071343899
Episode 12, logq_z: -1.426262378692627, logmi: 0.0005322082433849573
Episode 13, logq_z: -1.254177212715149, logmi: 0.0003891910891979933
Episode 14, logq_z: -1.5984445810317993, logmi: 0.0003576518502086401
Episode 15, logq_z: -1.7163548469543457, logmi: 0.00029020151123404503
Episode 16, logq_z: -1.8497090339660645, logmi: 0.00032717641443014145
Episode 17, logq_z: -2.175267457962036, logmi: 0.0002550699282437563
Episode 18, logq_z: -2.437363386154175, logmi: 0.00023056892678141594
Episode 19, logq_z: -2.2829129695892334, logmi: 0.00020593032240867615
Episode 20, logq_z: -1.9923967123031616, logmi: 0.00020447582937777042
Episode 21, logq_z: -1.8124829530715942, logmi: 0.0001728550996631384
Episode 22, logq_z: -1.9054875373840332, logmi: 0.00015404215082526207
Episode 23, logq_z: -1.7442431449890137, logmi: 0.0001476092729717493
Episode 24, logq_z: -1.493602991104126, logmi: 0.00018209312111139297
Episode 25, logq_z: -1.4440901279449463, logmi: 0.0001420043408870697
Episode 26, logq_z: -1.4289250373840332, logmi: 0.0001703612506389618
Episode 27, logq_z: -1.5279701948165894, logmi: 0.00013106665574014187
Episode 28, logq_z: -1.6131449937820435, logmi: 0.00010907324030995369
Episode 29, logq_z: -1.5454597473144531, logmi: 0.00011636875569820404
Episode 30, logq_z: -1.4879602193832397, logmi: 6.443937309086323e-05
Episode 31, logq_z: -1.4768731594085693, logmi: 8.53734090924263e-05
Episode 32, logq_z: -1.503822922706604, logmi: 9.005819447338581e-05
Episode 33, logq_z: -1.5303118228912354, logmi: 7.121078670024872e-05
